owner;cleaned_github;author_name;author_username;commit_date;family;names;commit_message;manual_categories;oussama_categories;automatic
BAAI;https://github.com/FlagOpen/FlagEmbedding;JUNJIE99;JUNJIE99;2024-06-13 08:04:40+00:00;BAAI_bge;Frequent Alignment;update evaluate_ssc.py;training infrastructure;validation infrastructure;validation infrastructure
microsoft;https://github.com/microsoft/UniSpeech;yuwu1;MarkWuNLP;2022-01-05 10:24:37+00:00;microsoft_wavlm;Sparse Alignment;add dependency;add dependency;add dependency;add dependency
JackFram;https://github.com/flexflow/FlexFlow;Wei Wu;eddy16112;2020-09-10 15:21:50+00:00;JackFram_llama;Dense Partial Alignment;[python]: fix examples;external documentation;external documentation;model structure
Langboat;https://github.com/Langboat/Mengzi3;chunhui;ChunhuiLiu;2024-03-29 18:21:46+00:00;Langboat_Mengzi3;Rare Alignment;add demo;external documentation;external documentation;external documentation
tner;https://github.com/asahi417/tner;asahi417;asahi417;2022-08-07 15:02:08+00:00;tner_roberta;Rare Alignment;add diagram;external documentation;external documentation;external documentation
microsoft;https://github.com/microsoft/UniSpeech;czy97;czy97;2021-11-22 08:25:24+00:00;microsoft_wavlm;Sparse Alignment;add diarization demo for unispeech_sat pre-training model;external documentation;external documentation;external documentation
lxyuan;https://github.com/LxYuan0420/nlp;Lx Yuan;LxYuan0420;2022-05-07 09:30:21+00:00;lxyuan_distilbert;Rare Alignment;add gradio chinese ner model demo example;external documentation;external documentation;external documentation
stabilityai;https://github.com/CompVis/stable-diffusion;ablattmann;Unknown;2022-01-14 17:24:18+00:00;stabilityai_StableBeluga;Rare Disjoing;add license;external documentation;external documentation;external documentation
stabilityai;https://github.com/CompVis/stable-diffusion;Robin Rombach;rromb;2022-08-10 14:59:50+00:00;stabilityai_StableBeluga;Rare Disjoing;add link to access request form;external documentation;external documentation;external documentation
lxyuan;https://github.com/LxYuan0420/nlp;Yuan Lik Xun;LxYuan0420;2023-10-24 09:00:06+00:00;lxyuan_distilbert;Rare Alignment;add microsft phi15 gradio chatbot example this example notebook demostrate how to use microsoft phi15 model to generate text and use it for a chatbot with gradio.;external documentation;external documentation;external documentation
ku-nlp;https://github.com/ku-nlp/jumanpp;Hajime Morita;pnnc205j;2015-01-14 18:56:43+00:00;ku-nlp_deberta;Dispersed Alignment;add n-best search from morph (without codes for chinese);model structure;model structure;model structure
google;https://github.com/google-research/language;Language Team;a-googler;2020-04-30 18:25:07+00:00;google_canine;Dispersed Alignment;add paper link to totto readme. piperorigin-revid: 309264689;external documentation;external documentation;external documentation
lxyuan;https://github.com/LxYuan0420/nlp;Lik Xun Yuan (Lx);LxYuan0420;2023-05-06 07:47:12+00:00;lxyuan_distilbert;Rare Alignment;add zero shot student-mdistilbert notebook;external documentation;external documentation;external documentation
lxyuan;https://github.com/LxYuan0420/nlp;Lx Yuan;LxYuan0420;2021-12-18 05:06:21+00:00;lxyuan_distilbert;Rare Alignment;add: generating names with a character level rnn pytorch;external documentation;external documentation;external documentation
DTAI-KULeuven;https://github.com/iPieter/RobBERT;Pieter Delobelle;iPieter;2019-12-19 17:52:27+00:00;DTAI-KULeuven_robbert;Sparse Alignment;added logo;external documentation;external documentation;external documentation
augmxnt;https://github.com/AUGMXNT/shisa;lhl;lhl;2023-11-09 15:52:44+00:00;augmxnt_shisa;Sparse Alignment;added wandb;add dependency;add dependency;add dependency
elastic;https://github.com/elastic/elasticsearch-labs;Jessica Garson;JessicaGarson;2024-05-21 17:57:16+00:00;elastic_distilbert;Sporadic Disjoint;adding content for an upcoming blog post (#247);external documentation;external documentation;external documentation
llm-blender;https://github.com/yuchenlin/LLM-Blender;(Bill) Yuchen Lin;yuchenlin;2023-06-05 23:01:56+00:00;llm-blender_PairRM;Intermittent Alignment;bold ckpt link;external documentation;external documentation;external documentation
